Text,Prediction,Ground Truth
"Nearly a year after the tax cut, economic growth has accelerated. Wage growth has not. Companies are buying back stock and business investment is a mixed bag. Trump’s Tax Cut Was Supposed to Change Corporate Behavior. Here’s What Happened.",1,1
"With the elections in the rearview mirror, Wall Street can focus on gridlock and interest rates — and maybe impeachment and a recession. Now, the Markets Can Worry About Other Things. Here’s a List.",-1,-1
"The Fed, as expected, did not raise interest rates at its meeting that ended on Thursday but indicated another increase is still expected in December. Fed Keeps Rates Unchanged and Signals December Increase Is on Track",1,-1
How the company and local officials flesh out plans for the new corporate presence will be crucial to the economic lift it produces. Visions of a Tech Hub? Landing Amazon Is Just a Start,1,1
"Amazon defied expectations by splitting its second headquarters into two locations. For the internet company, it seems to be working out rather nicely. Was Amazon’s Headquarters Contest a Bait-and-Switch? Critics Say Yes",-1,1
President Xi Jinping kicks off a Shanghai event showing a growing Chinese appetite to buy from the rest of the world. Even critics of the U.S. have doubts. China Seeks Allies as Trump’s Trade War Mounts. It Won’t Be Easy.,-1,-1
Business and conservation needn’t be opposed to one another. Government regulation to preserve the environment can unlock private sector wealth. Preserving the Wealth That Conservation Built,1,1
"If history is a guide, the best part of the four-year “presidential cycle” is here. Will the pattern hold? The Stock Market Typically Rises After Midterm Elections. This Year Is Anything but Typical.",1,-1
The e-commerce giant lowered its estimate for revenue growth this year as challenges mount for the world’s second largest economy. Alibaba Feels the Pinch From China’s Slowing Economic Growth,-1,-1
"The last official snapshot of the economy before Americans vote on Tuesday offered another reminder of the labor market’s persistent strength. U.S. Added 250,000 Jobs in October; Unemployment at 3.7%",-1,1
"Investors will be looking for a turnaround plan from G.E.’s new chief. Data on the eurozone’s economy is due. And Facebook’s earnings will come with data on its user numbers. A U.S. Trade Complaint, Tech Earnings and Jobs Numbers",1,-1
"The European Union fended off the challenge of Greek debt, but doing so with the Italian budget crisis could be much harder. Behind the Clash Over Italy’s Budget, a Fear of Populism",-1,-1
"After six months of strong growth, the economy is on track for its best annual performance since 2005. But there were signs of a slowdown ahead. U.S. Economy Charged Ahead in the Third Quarter",1,-1
"Mr. Draghi, president of the European Central Bank, said the eurozone economy is still solid and that Rome and Brussels will work out their issues. Despite Weak Spots, E.U. Economy Is Not Nearing Recession, Mario Draghi Says",1,1
"It’s a less bullish time for investors, but mostly good for workers and the economy. Why Has the Stock Market Been Dropping? The Expansion Heads Toward a New Phase",-1,-1
"The European Commission told Rome that it would have to rewrite its draft 2019 budget and reduce its deficit, or face heavy fines early next year. E.U. Rejects Italy’s Budget, and Populists Dig In",-1,-1
"Jack Dorsey of Twitter and Marc Benioff of Salesforce, among others, are sparring over a Nov. 6 ballot initiative that would impose new corporate taxes. In Liberal San Francisco, Tech Leaders Brawl Over Tax Proposal to Aid Homeless",-1,-1
"Fendi attempts to address the Italian national youth unemployment crisis by luring a new generation into becoming traditional artisans. Teenagers, Forget Engineering. Your Future Is Craft.",1,-1
"Federal revenues rose slightly in the 2018 fiscal year. But that doesn’t mean the $1.5 trillion tax cut is bringing in more revenue than it’s losing. No, Trump’s Tax Cut Isn’t Paying for Itself (at Least Not Yet)",1,-1
Plunging corporate tax revenues from the Trump tax cuts helped push the annual deficit to $779 billion. It is on track to reach $1 trillion by 2020. Budget Deficit Jumps Nearly 17% in 2018,1,-1
"The Finnish steel manufacturer Outokumpu has access to mineral deposits that give it a clear advantage over U.S. makers. But Trump’s tariffs are raising prices for American customers. When Designer Steel From Lapland Makes Sense, DespiteTariffs",1,-1
"Once regarded mostly as sources of money for professional money managers, sovereign funds have matured into aggressive investors. Sovereign Wealth Funds Embrace Their Growing Ambitions",1,1
Taking an aggressive stance with traditional allies now seems to be just a warm-up for the main event: isolating China. The Trump Trade Strategy Is Coming Into Focus. That Doesn’t Necessarily Mean It Will Work.,1,-1
"The American economy added 134,000 jobs in September, the Labor Department said, and unemployment fell to 3.7 percent. With 8 Years of Job Gains, Unemployment Is Lowest Since 1969",-1,1
"As polls numbers drop, President Emmanuel Macron promises benefits for middle- and low-income earners and tells investors he won’t halt economic reforms. Macron, With Popularity Slumping, Tries Tax Cuts for France’s Working Class",-1,1
Taxes are rising. Regulation is tightening. State-run firms are ascendant. That could spell problems for a country where economic growth is slowing. Private Businesses Built Modern China. Now the Government Is Pushing Back.,-1,-1
"A map of the counties targeted by China, Mexico, Canada and the European Union in a trade war looks strikingly similar to a map of the 2016 presidential election. Firing Back at Trump in the Trade War With Tariffs Aimed at His Base",-1,-1
"In a satirical new novel, a former Google executive identifies the technology industry’s chief issue: its narrow engineering-focused bubble. Silicon Valley’s Keystone Problem: ‘A Monoculture of Thought’",-1,-1
"Although Prime Minister Justin Trudeau praised the agreement as a win for Canada, economists painted a more complex picture of some of its potential impact. For Canada, a Sigh of Relief More Than a Celebration in New Nafta Deal",1,-1
Audits and criminal referrals are down sharply since Congress cut the tax agency’s budget and management changed priorities. I.R.S. Tax Fraud Cases Plummet After Budget Cuts,-1,-1
"Even in attractive, fast-growing cities like Denver, New York and Seattle, selling prices are rising more slowly and asking prices are being slashed. Housing Market Slows, as Rising Prices Outpace Wages",-1,-1
A localized recession in manufacturing-heavy areas can explain a lot of things. The Most Important Least-Noticed Economic Event of the Decade,-1,-1
"Tax cuts, spending increases and higher interest rates could make it harder to respond to future recessions and deal with other needs. As Debt Rises, the Government Will Soon Spend More on Interest Than on the Military",-1,-1
"Homeowners and businesses will have to pay more for lumber, steel, aluminum and other materials because of President Trump’s trade policy. Tariffs to Raise Cost of Rebuilding After Hurricane Florence",-1,-1
"Many businesses are ill-equipped or unwilling to deal with opioid addiction even as it has driven up health costs and hurt productivity. Workers Overdose on the Job, and Employers Struggle to Respond",-1,-1
"In a tacit acknowledgment that Mr. Trump has shaken the international trading system, G20 officials sought to reduce tensions. Trade Ministers Call for W.T.O. Overhaul, but Offer Few Details",1,-1
"Foiled in reversing a policy change from the Obama era, the agency will try again to limit companies’ responsibility for franchisees and contractors. Labor Board Moves Anew to Limit Employers’ Workplace Liability",-1,1
"The bank’s move, to ramp up the benchmark rate by 6.25 percentage points, had long been resisted by President Recep Tayyip Erdogan. Defying Erdogan, Turkey’s Central Bank Raises Interest Rates",-1,-1
"The central bank did not shift its monetary policy, but lowered its forecasts for economic growth in Europe, in part because of tensions over trade. E.C.B., at Latest Meeting, Highlights Risks From Trade War",-1,-1
"In stark contrast to the U.S., where a bull market continues, investors are pulling out of developing economies as the economic and financial risks mount. Edgy Investors Are Retreating From Risky Economies",-1,-1
The attack punctuated a week of deadly violence in the capital and struck at the core of the country’s deteriorating economy. Several Reported Killed in Libya as Gunmen Storm National Oil Company,-1,-1
"If it persists, a steady uptick in prices could complicate Beijing’s effort to support economic growth and contend with the trade war with the United States. China Sees Hints of a Past Threat: Inflation",-1,-1
"The August jobs numbers suggest an economy that is starting to strain at its capacity, as the labor force shrank and wages rose. The Economy Needs More Workers. Last Month, It Got Fewer.",-1,-1
"The largely positive Labor Department report hinted that tariffs could be starting to take a toll on manufacturing jobs. In a Sign of the Economy’s Strength, Jobs and Wages Moved Higher in August",-1,-1
"Sales are booming at major chains that have taken cues from their giant online rival — signs of a revival in a $3.5 trillion industry. Hard Lessons (Thanks, Amazon) Breathe New Life Into Retail Stores",1,1
"The newest jobs numbers are expected to show healthy gains, and Detroit automakers will report sales for August. Summer Winds Down, and Big Tech Is Called Before Congress",1,1
The strength of the economy and the stock market might seem too good to be true. But you may want to hedge your bets. What if the Economy and Markets Are Even Better Than They Look?,1,1
"Car and parts makers should be able to adapt to changes negotiated with Mexico without undue expense or disruption, analysts say. Trump Approach on Nafta Relieves Automakers’ Worst Fears",1,1
"Argentina’s central bank raised interest rates, trying to halt a plunge in the value of the peso. The turmoil led to a sell-off in other emerging-market currencies. Argentina’s Peso Tumbles as Turbulence in Emerging Markets Spreads",-1,-1
"A rising chorus blames Airbnb, Uber and other internet-enabled travel conveniences for a boom that threatens a sustainable balance. ‘Overtourism’ Worries Europe. How Much Did Technology Help Get Us There?",-1,-1
Changes to the Community Reinvestment Act would allow financial institutions to skirt rules on lending to poor and minority areas. A Green Light for Banks to Start ‘Redlining’ Again,1,1
"U.S. authorities are investigating a fatal Tesla Inc Model S crash in Florida last Sunday that killed the driver and caused a massive fire, the second fatal Tesla crash in the state this week being probed, the National Highway Traffic Safety Administration (NHTSA) said on Saturday. U.S. agency probing two fatal Tesla crashes in Florida since last Sunday",-1,-1
"Germany's car industry is to invest nearly 60 billion euros ($68 billion) over the next three years on electric cars and automated driving, the head of the VDA car industry association said ahead of the Geneva motor show. German carmakers to invest 60 billion euros in electric cars and automation: VDA",1,1
"Tesla Inc's sudden decision to shutter the bulk of its stores around the world raises a red flag over the future of its solar branch, a declining business it paid $2.6 billion for in a controversial 2016 deal. Tesla's store-shuttering strategy may pull the rug out of solar",-1,-1
U.S. President Donald Trump said he had asked China to immediately remove all tariffs on U.S. agricultural products because trade talks were progressing well. Trump asks China to lift tariffs on U.S. farm products,1,1
"China's Huawei is set to reward employee shareholders with a 3 percent rise in cash dividends that are worth billions of dollars, according to company sources and Reuters calculations - a move expected to boost morale as it battles a U.S.-led drive against its telecom gear. Exclusive: Huawei plans billions in dividends for staff despite row with U.S. - sources",1,1
"The Trump administration filed another salvo at the World Trade Organization on Friday, saying U.S. trade policy was not going to be dictated by the international body and defending its use of tariffs to pressure China and other trade partners. U.S. says rejects WTO's 'straitjacket' of trade obligations",-1,-1
The National Highway Traffic Safety Administration (NHTSA) and the National Transportation Safety Board (NTSB) said they are sending teams to investigate a fatal crash in Florida on Friday involving a Tesla Inc car and a semi-trailer. U.S. safety agencies to investigate fatal Tesla crash in Florida,-1,-1
"Huawei Technologies Co Ltd and two affiliates will be arraigned on March 14 in U.S. District Court in Brooklyn, New York, on accusations the company committed bank and wire fraud and violated sanctions against Iran, according to a court filing on Friday. Huawei to be arraigned in U.S. fraud case in New York on March 14",-1,-1
"The Canadian government, as expected, said on Friday it would allow an extradition hearing to proceed against Meng Wanzhou, the chief financial officer of Huawei Technologies Co Ltd who was detained in Canada late last year. Canada to allow extradition case against Huawei executive",-1,-1
"Tesla Inc has paid off a $920 million convertible bond obligation in cash, a company spokesperson said on Friday. Tesla settles in cash $920 million convertible bond obligation",1,-1
Mexico's government on Friday threatened to slap duties on new U.S. products in retaliation for the Trump administration's steel and aluminum tariffs as it seeks to turn up pressure on Washington to exempt it from the measures. Mexico eyes fresh U.S. targets for tariffs to pressure Trump over steel,-1,-1
"U.S. stock prices are outpacing those in most other regions to start 2019, but the gap is narrow and some investors are eyeing potential catalysts to tip the scales to the rest of the world. Wall St. Week Ahead: U.S. stock reign may not last over other regions",-1,-1
"The Canadian government, as expected, on Friday approved extradition proceedings against the chief financial officer of Huawei Technologies Co Ltd, prompting a furious reaction from China. Canada approves Huawei extradition proceedings, China seethes",-1,-1
"Blackstone Group LP Chief Executive Stephen Schwarzman pocketed at least $567.8 million in 2018 dividends and compensation, making him yet again the private equity industry's highest earner, a regulatory filing showed on Friday. Blackstone CEO Schwarzman pockets at least $568 million in 2018: filing",1,1
"Conflicting cultures and management styles are overshadowing Barrick Gold Corp's $18 billion bid for rival Newmont Mining Corp, becoming factors just as important to the deal's success as whether or not the pair's lucrative assets in Nevada and elsewhere fit well together. Cultural clash overshadowing Barrick's Newmont bid",-1,-1
The S&P 500 and the Dow Jones Industrial Average snapped a three-day run of losses on Friday as optimism about the prospects for a U.S.-China trade agreement countered downbeat U.S. and China manufacturing data. Wall Street rises as trade optimism counters weak data,-1,-1
Wells Fargo & Co executives and directors have reached a $240 million settlement with U.S. shareholders over the creation by bank employees of millions of unauthorized customer accounts. Wells Fargo officials enter $240 million settlement over bogus accounts,-1,-1
"Amazon.com Inc plans to open dozens of grocery stores across the United States as it looks to expand in the food business, the Wall Street Journal reported on Friday, citing people familiar with the matter. Amazon plans new grocery-store business: WSJ",1,1
"U.S. personal income fell for the first time in more than three years in January and consumer spending dropped by the most since 2009 in December, putting the economy on a weak growth path early in the first quarter. U.S. consumer spending, factory data point to weak first quarter GDP growth",-1,-1
"Automakers on Friday reported a decline in U.S. light vehicle sales for February as demand for SUVs slows after years of rapid growth, pointing to a drop in overall sales in 2019. U.S. auto sales fall in February on weak SUV demand",-1,-1
"American Airlines was fined $1 million and Delta Air Lines Inc $750,000 for violating federal rules barring lengthy tarmac delays at U.S. airports, the U.S. Transportation Department said on Thursday. U.S. fines American Airlines, Delta for long tarmac delays",-1,-1
"Luxury carmaker Jaguar Land Rover, part of Tata Motors Ltd, is preparing to announce hundreds of millions of pounds worth of investment in Britain, the BBC reported on Friday. Jaguar Land Rover to announce major UK investment: BBC",1,1
"BNP Paribas reached an agreement with unions over a plan to cut as many as 2,500 jobs at its Belgian retail banking unit by 2021 as part of an effort to bring down costs. BNP Paribas to cut up to 2,500 jobs at its Belgian bank",-1,-1
"Volkswagen's flagship VW brand missed its margin target in 2018 as operating profits declined despite growth in top-line revenues at the German carmaker, news weekly Spiegel reported on Friday, citing unpublished figures. Volkswagen's flagship VW brand missed margin goal in 2018: Spiegel",-1,-1
Gap Inc shares surged as much as 24 percent on Friday as a number of Wall Street analysts lauded the company's decision to separate its better-performing Old Navy brand. Gap shares surge 24 percent as Wall Street praises split,1,1
"Private equity firm Apollo Global Management LLC has amassed a 6 percent stake in Clearway Energy Inc, a renewable energy producer whose shares were hit after one of its customers filed for bankruptcy, people familiar with the matter said on Friday. Exclusive: Apollo bets on Clearway Energy, defying PG&E bankruptcy fallout",1,-1
"Norwegian oil and gas company Aker BP is switching emphasis from M&A toward exploration, taking a potentially riskier path to increase its resources after years when it has relied on acquisitions to add the bulk of its new barrels. Norway's Aker BP switching gears from M&A to exploration",1,-1
"Canadian Prime Minister Justin Trudeau spoke to U.S. President Donald Trump on Thursday about American tariffs on steel and aluminum, Trudeau's office said on Friday, but well-placed sources said there was little sign of progress. Canada PM speaks to Trump about tariffs, sources see little progress",-1,-1
"The European Central Bank has downplayed a global slowdown for months, but it will finally take a tentative step next week to prop up the euro zone economy, signaling fresh stimulus to keep banks lending. A day of reckoning for the ECB?",1,1
"Tesla Inc said on Thursday it would not be profitable in the first quarter, as it offered for the first time a $35,000 version of its Model 3 sedan and said its global sales would now be online-only, steps designed to increase demand and cut overhead costs for the electric vehicle maker. Tesla debuts $35,000 Model 3, sees loss in first quarter",-1,-1
"European Union member states unanimously rejected on Friday a proposal to blacklist Saudi Arabia and four U.S. territories for lax controls on terrorism financing and money laundering, sources told Reuters. EU states block putting Saudi Arabia, U.S. territories on dirty-money list",-1,-1
"Glencore said trade barriers are its ""foremost risk"", but climate, political, legal and other potential dangers have become more pressing for the mining and trading group. Glencore highlights trade as 'foremost risk', others growing",-1,-1
"Billions of dollars of pre-election spending by the Indian government and political parties in the next two months is unlikely to stop the nation's economy from slowing further, economists said. India's growth may decelerate further despite election spending",-1,-1
"High-grade euro zone debt remains scarce even though the European Central Bank has stopped its huge purchases of new bonds, intensifying concerns that banks will face future collateral shortages and highlighting the need for safe assets. Euro zone's triple-A bond drought persists after ECB steps away",-1,-1
"Malaysia is seeking $7.5 billion in reparations from Goldman Sachs Group Inc over its dealings with scandal-linked state fund 1MDB, the Financial Times (FT) reported on Friday, citing the finance minister. Malaysia seeks $7.5 billion in reparations from Goldman Sachs: FT",-1,-1
"Wall Street stocks fell sharply in volatile trading on Friday, with the Nasdaq confirming it is in a bear market, as concerns of slowing economic growth led investors to flee stocks in high-valuation sectors such as technology and communication services. Nasdaq confirms bear market; economic worries sink Wall Street",-1,-1
"The Nasdaq Composite Index confirmed on Friday it is in a bear market for the first time since 2008, underscoring fears that the longest bull run in history for U.S. stocks could soon be over. Nasdaq in bear market, first of the three major U.S. indexes",-1,-1
"HNA Group Co [HNAIRC.UL] is in talks to sell Ingram Micro Inc to private equity firm Apollo Global Management Llc , a source familiar with the matter said on Friday, as the Chinese conglomerate continues to scale back operations. China's HNA in talks to sell Ingram Micro to Apollo Global: source",-1,-1
"On Friday, the Nasdaq Composite closed almost 22 percent below its record high daily close on Aug. 29, signaling a nearly nine-and-a-half year bull market run for the index ended in late summer. Factbox: Past Nasdaq bear markets lasted long and cut deep",-1,-1
